posicion_id,tema_id,rank,usuario,plataforma,fecha,texto,engagement
T00_P1,0,1,YouTube::@marthaverduzco8467,YouTube,2026-07-18T02:54:56Z,Ya habian matado a un niño el año pasado cuando fue a un campamento no le dieron agua y lo arrastraron con piedras. <br>Por favor padres de familia no lleven a sus hijos a estas escuelas militarizadas son un gran peligro.<br>Mejor tengan a sus hijos en casa y para que no se lamenten despues.,295
T00_P1,0,2,YouTube::@marianamontalvo7530,YouTube,2026-07-19T02:50:42Z,"El director debe ser detenido por las autoridades .<br>O estàn esperando a que se de a la fuga ?<br>Bueno con esto vean padres y madres merece la pena entregar en manos de ese tipo de personas  la integridad , la dignidad y la vida de sus hijos e hijos hijas ?<br>Los hijos e hijas son lo mas hermoso y valioso que podemos tener.",85
T00_P1,0,3,YouTube::@fer3725,YouTube,2026-07-17T23:13:08Z,"Enserio me cuesta creer la poca empatía de algunas personas, que si la mamá tiene la culpa; que ¿por qué la dejo ahi?, que &quot;yo a mis hijos no los dejo por nada&quot;. Para empezar la madre no se imagino lo que iba a pasar, osea nadie sabe que puede pasar una cosa tan horrible y lamentablemente cómo lo que sucedió. Los niños deberían poder estar en lugares en los que se puedan estar seguros, sin tener que estar c",27
T00_P1,0,4,YouTube::@lizzieguez,YouTube,2026-07-19T11:55:38Z,"Ya neta, padres  que tienen las posibilidades de enviar a sus hijos a lugares así, no anden mandando a sus hijos solos a ningún lugar, menos donde ellos se quedan ahí, osea ya neta, a veces si no tienen tiempo para estar con ellos, mantenganlos en casa, o ponganlos a hacer algún deporte y que vayan a entrenar pero que tambien vayan los hermanos o algunos primos o primas de edades similares si ustedes no pueden ir, os",11
T00_P2,0,1,YouTube::@LuisTorres-kl1zv,YouTube,2026-07-18T01:14:52Z,"Los instructores militares con el argumento de disciplinar humillan, golpean y hasta violan niños y niñas y salen de ahí traumados por estos energumenos y callan😢",111
T00_P2,0,2,YouTube::@eiguajardo,YouTube,2026-07-19T02:28:06Z,"la que convencio a la señora de meter a su hija ahi, por ahi es, la academia es para niños &quot;problematicos&quot; si la niña era reina de belleza y muy disciplinada en los deportes por que diablos le recomendo la otra fulana que la metiera en una institucion de jovenes problema?<br>la envidia es cabrona<br>solo eso dire. <br>me recordo el caso de la niña que as3sinaron y resulto ser la &quot;super amiga&quot; de l",65
T00_P2,0,3,YouTube::@ChololokoPorro,YouTube,2026-07-18T07:34:12Z,Asta una persona torturada y golpeada vive mas que los 4 dias que le diero a este agelito la mataron por que fue abusada y no querian que cofesara  las mujeres también violan y abusan de menores cadena perpetua a las mujeres y hombres que violas y violentisan alos niños 😢,26
T00_P2,0,4,YouTube::@CaroDiaz-m3g,YouTube,2026-07-18T15:48:15Z,"Es la segunda muerte que veo en la noticias dentro de esos lugares, que pasa en esos lugares, ya para mí son super peligrosos, niños sanos aparecen muertos misteriosamente y nadie sabe nada, esos lugares ya no deberían de existir las personas que los llevan son muy duros, sin sentimientos, ni empatía y hasta transtornados. De cómo se dirigen a los familiares que terror papas no lleven a sus hijos ahí!!!!!!  Justicia!",19
T01_P1,1,1,Instagram::monicavtampico,Instagram,2026-07-18T15:59:09Z,"Vive el arte, la cultura y experiencias únicas en Tampico. 🕊️ Alas en Libertad Una exposición al aire libre para disfrutar en familia. 📍 Jardín de las Artes (entre Expo Tampico y Teatro Metropolitano) 🗓️ Todos los días 🎟️ Entrada gratuita. ⚽ Pasión Jaiba Revive la historia y el legado de la Jaiba Brava en esta exposición. 📍 Salón Gobernadores | Expo Tampico 🗓️ Martes a domingo 🕙 10:00 a.m. – 6:00 p.m. 🎟️ Entrada grat",126
T01_P1,1,2,TikTok::monicavtampico,TikTok,2026-07-15T20:44:37Z,"Esta mañana me reuní con las y los afiliados de la CMIC Tamaulipas para compartir los avances que estamos logrando en Tampico. Hoy contamos con una inversión de 783 millones de pesos en obra pública, resultado de la suma de recursos municipales y del Gobierno del Estado. Agradezco a la CMIC por la entrega de un cheque al DIF Tampico, que fortalecerá su labor social, y otro al Municipio para la elaboración de proyecto",87
