,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49
T0,0,0,317,0,0,58,301,0,0,0,113,51,173,4387,793,0,0,115,648,242,0,115,92,0,0,0,0,297,288,0,1187,116,57,106,0,66,54,317,88,0,0,1072,394,0,59,102,0,5421,0,152
T1,121,0,267,0,19,25,100,0,0,31,38,21,0,984,81,137,0,174,29,49,12,0,19,49,0,0,0,62,0,0,25,226,18,94,57,32,0,29,0,0,0,97,207,18,0,122,17,802,0,112
T2,452,0,0,0,0,57,206,0,0,0,99,0,66,4650,134,507,50,1103,140,376,0,0,103,549,105,209,0,196,0,0,247,1372,0,0,109,163,0,0,294,0,71,419,264,0,0,247,0,2023,50,211
T3,138,0,285,0,0,0,189,0,0,27,30,0,0,2097,256,126,106,60,59,38,0,0,24,142,0,40,0,65,0,0,48,351,0,35,94,21,0,0,125,209,20,147,67,51,0,86,0,839,25,103
T4,149,19,190,0,0,30,26,0,0,0,307,22,32,563,32,32,96,44,52,46,0,118,31,16,22,0,0,174,16,38,54,110,17,83,47,128,18,0,13,0,17,236,454,54,0,67,36,313,0,275
T5,213,0,281,0,0,0,131,30,26,0,126,34,98,1306,96,141,0,126,56,145,0,25,93,395,0,51,0,130,26,52,214,360,100,0,93,0,0,23,125,22,0,380,288,21,0,142,0,1448,102,169
T6,654,0,280,37,0,0,0,42,0,104,95,0,0,4154,717,0,0,118,207,162,0,50,0,166,44,0,0,129,0,0,604,419,0,0,114,0,59,0,96,37,0,89,182,0,37,102,0,4160,0,223
T7,282,0,90,0,0,50,144,0,0,16,97,22,86,624,321,36,53,30,141,30,43,72,0,83,54,15,0,81,0,18,136,378,17,91,30,19,0,73,76,62,41,217,256,33,32,32,0,845,18,87
T8,77,0,155,46,0,26,73,0,0,0,50,15,29,1110,65,63,31,82,0,18,14,117,0,33,25,19,0,132,173,15,41,99,102,13,64,17,48,33,50,54,0,177,141,229,0,35,18,584,0,287
T9,199,0,206,27,0,0,154,0,0,0,484,20,30,801,87,88,42,106,46,0,53,0,0,0,19,44,0,455,0,104,91,173,0,41,42,19,234,95,348,0,20,94,281,0,50,88,22,931,0,462
T10,238,0,170,0,0,0,162,0,0,249,0,33,161,939,92,34,98,76,137,44,0,264,0,38,0,0,452,742,0,0,1313,69,0,39,80,556,40,0,246,41,0,598,1684,0,0,75,0,959,105,805
T11,289,21,446,0,22,34,0,22,0,55,79,0,161,1267,63,236,56,236,92,94,47,45,108,17,23,64,0,120,0,0,79,181,18,43,39,0,0,0,62,0,17,203,146,18,110,94,17,324,0,196
T12,540,0,171,0,0,53,154,51,0,30,244,138,0,888,301,247,54,27,399,28,0,63,54,134,0,0,0,215,50,24,203,289,64,160,33,0,0,84,123,38,25,502,430,26,0,197,58,1144,47,275
T13,2686,121,2310,245,0,360,1713,118,0,0,0,0,219,0,799,1153,178,2144,179,302,0,604,238,2192,158,399,128,821,195,0,984,3786,0,0,509,550,0,885,804,273,0,1263,544,0,183,656,0,12094,422,965
T14,1263,0,173,0,0,43,752,83,0,0,92,40,184,2129,0,64,64,82,349,158,0,0,0,137,0,0,0,65,99,0,716,403,0,264,63,38,0,60,37,0,0,536,348,0,0,265,0,3727,123,167
T15,238,35,1185,34,0,71,0,0,39,0,34,0,107,3194,64,0,71,453,40,33,0,0,48,118,111,78,0,212,0,0,40,738,0,0,220,89,0,38,264,42,0,362,66,0,42,326,0,1557,38,284
T16,287,0,305,86,67,21,46,34,0,21,152,56,54,1230,140,196,0,76,60,0,0,41,58,115,0,0,0,260,0,24,122,380,0,0,234,36,0,154,158,21,0,461,369,45,56,403,0,484,23,369
T17,194,49,1316,33,0,33,154,30,53,40,107,0,0,4034,146,453,0,0,33,39,0,74,70,455,0,137,0,165,0,0,44,640,0,0,201,77,0,31,168,0,0,353,114,57,0,272,0,1988,36,127
T18,1267,0,274,37,0,0,207,44,0,0,137,74,240,1249,473,40,38,33,0,68,0,93,67,70,0,0,0,444,80,35,548,161,0,394,41,35,0,0,96,47,0,708,542,0,0,232,0,1633,75,203
T19,592,0,711,38,30,123,421,0,0,0,120,38,28,2023,292,140,0,63,115,0,0,95,33,122,78,63,28,124,24,0,229,23,50,76,0,23,0,41,80,0,0,329,276,23,27,144,0,600,0,66
T20,65,0,139,0,0,15,59,43,14,53,65,47,75,991,85,153,63,101,55,0,0,0,0,41,0,14,13,94,0,14,45,317,16,34,136,0,22,27,94,28,0,114,100,0,102,70,0,580,0,138
T21,403,0,71,0,61,25,101,0,83,0,516,26,63,1882,59,0,41,97,196,117,0,0,0,0,24,0,155,213,0,0,414,0,100,144,60,222,22,282,66,166,135,340,336,42,0,170,0,335,85,71
T22,371,0,619,24,0,71,46,0,0,0,22,50,54,2707,32,282,36,240,90,56,0,0,0,50,46,183,0,124,0,0,143,318,29,23,0,0,0,0,73,0,24,263,153,0,24,45,0,625,0,97
T23,90,0,591,0,0,164,166,66,0,0,38,0,47,6157,137,87,0,192,40,0,0,0,0,0,163,0,0,80,0,0,84,411,0,0,0,0,0,0,189,41,0,166,0,0,0,0,0,3616,46,363
T24,142,0,539,0,22,19,108,54,25,19,21,23,21,2206,28,230,0,150,39,98,0,45,84,357,0,56,0,160,0,0,50,331,0,0,0,60,0,0,111,0,0,234,93,0,22,69,0,420,0,67
T25,64,0,352,40,0,51,67,0,19,61,247,64,0,1030,20,186,0,279,76,143,0,0,201,64,56,0,0,184,33,45,51,196,0,0,49,62,53,35,131,36,81,152,187,131,30,51,0,283,25,347
T26,139,0,188,0,0,32,104,0,0,0,557,0,86,1055,38,0,0,80,28,87,0,169,45,56,34,0,0,157,26,35,1227,13,16,0,0,756,15,16,55,17,0,120,116,17,58,0,0,414,300,98
T27,557,0,259,0,68,77,162,41,0,395,804,34,104,1436,65,243,163,165,444,97,0,120,76,303,34,100,45,0,120,36,364,186,140,85,180,190,228,249,362,104,116,479,655,68,85,162,35,772,50,590
T28,674,0,88,0,0,26,203,0,173,0,111,0,50,1031,300,17,0,36,194,103,0,0,19,27,0,17,26,207,0,0,587,0,0,40,0,0,181,0,18,0,0,183,327,177,0,0,0,1708,17,123
