palabra,tema_id,sub_id,rol,participation,z_within_degree,grado_total
impulsado,3,0,broker,0.7574,1.4142,13
pardo,3,0,broker,0.8934,0.3536,21
federal,3,-1,broker,0.9062,0.0,24
decision,3,1,broker,0.7407,0.8165,9
tomar,3,1,broker,0.8194,-1.2247,12
olga,3,3,broker,0.78,0.8165,10
senadora,3,3,broker,0.7755,0.8165,7
sosa,3,3,broker,0.8472,0.8165,12
mujer,3,6,broker,0.9024,1.7321,26
responsable,3,1,broker,0.885,0.8165,20
presente,3,6,broker,0.75,-0.5774,8
venir,3,6,broker,0.7934,-0.5774,11
promover,3,7,broker,0.8264,-0.5,11
economico,3,8,broker,0.8992,1.7321,25
encuentro,3,0,broker,0.8402,-0.7071,13
participacion,3,7,broker,0.8443,2.0,17
apoyar,3,2,broker,0.8265,0.603,14
iniciativa,3,0,broker,0.8516,0.3536,16
beneficiar,3,5,broker,0.72,-1.3728,5
garcia,3,5,broker,0.74,1.5689,10
plaza,3,2,broker,0.6875,0.603,8
energia,3,2,broker,0.56,-0.3015,5
diputada,3,6,broker,0.8,-0.5774,5
competitivo,3,8,broker,0.72,-0.5774,5
agradecer,3,5,broker,0.716,0.5883,9
tierra,3,5,broker,0.72,-0.3922,5
direccion,3,2,broker,0.8284,0.603,13
mover,3,-1,broker,0.8438,0.0,8
testigo,3,4,broker,0.8163,-0.7071,7
plazo,3,4,periferico,0.375,0.7071,4
corazon,3,2,broker,0.7107,0.603,11
preparacion,3,4,periferico,0.4444,-0.7071,3
zacil,3,5,broker,0.625,-0.3922,4
tecnologia,3,1,broker,0.56,-1.2247,5
herramienta,3,8,broker,0.8571,-0.5774,7
apostar,3,4,broker,0.625,-0.7071,4
gloria,3,3,broker,0.5,-1.2247,2
autorizacion,3,4,periferico,0.0,-0.7071,2
aprovechar,3,8,broker,0.625,-0.5774,4
patria,3,0,broker,0.6914,0.3536,9
aparecer,3,4,broker,0.5,2.1213,6
originario,3,1,broker,0.5,0.8165,6
posicion,3,4,broker,0.6111,0.7071,6
lleno,3,2,broker,0.75,-2.1106,4
omar,3,4,broker,0.625,-0.7071,4
pese,3,7,broker,0.5,-0.5,2
roberto,3,7,broker,0.5,-0.5,2
clave,3,7,broker,0.5,-0.5,2
absoluto,3,3,periferico,0.0,-1.2247,1
sostenible,3,0,periferico,0.0,-1.7678,2
libramiento,17,0,broker,0.5,0.8944,6
mante,17,0,broker,0.8061,1.7889,14
estacion,17,3,broker,0.7654,0.1826,9
seguro,17,7,broker,0.8867,1.4142,30
contemplar,17,2,broker,0.8521,0.3062,13
estatal,17,2,broker,0.8978,1.7351,43
region,17,3,broker,0.8432,2.3735,26
cautelar,17,4,periferico,0.0,0.2673,3
medida,17,4,broker,0.78,1.069,10
poniente,17,0,periferico,0.0,0.8944,4
saludo,17,7,broker,0.8472,0.0,12
diaz,17,8,broker,0.64,0.0,5
miguel,17,8,broker,0.84,0.0,10
ciento,17,2,broker,0.76,1.0206,10
consejo,17,1,periferico,0.2449,2.2156,7
electoral,17,1,broker,0.7934,0.9847,11
puerto,17,3,broker,0.7654,0.1826,9
instituto,17,1,broker,0.716,0.9847,9
kilometro,17,3,broker,0.5,-0.3651,4
fronterizo,17,3,broker,0.6667,0.1826,6
entregar,17,0,broker,0.7769,0.0,11
utilizar,17,5,broker,0.7347,0.127,7
septiembre,17,1,periferico,0.0,-0.2462,2
industria,17,2,periferico,0.4444,-1.1227,3
mundo,17,0,broker,0.7812,-0.8944,8
incremento,17,0,broker,0.72,-0.8944,5
asunto,17,6,broker,0.625,0.2774,4
definir,17,5,periferico,0.2778,1.905,6
luna,17,5,broker,0.6111,0.127,6
avanzar,17,4,broker,0.76,1.069,10
vigente,17,4,broker,0.56,0.2673,5
ejecutivo,17,6,broker,0.72,0.2774,5
acusar,17,5,broker,0.6667,0.127,6
regla,17,2,periferico,0.0,-0.4082,2
aleman,17,8,broker,0.7222,0.0,6
enhorabuena,17,7,periferico,0.4444,0.0,3
temporal,17,2,periferico,0.4444,-0.4082,3
estancia,17,3,broker,0.6667,-1.4606,3
directamente,17,2,broker,0.5,-1.1227,2
controlar,17,5,broker,0.56,0.127,5
difundir,17,1,broker,0.5,-0.8616,2
dirigido,17,1,periferico,0.4444,-0.2462,3
ciencia,17,3,periferico,0.0,-0.9129,1
implementar,17,6,broker,0.72,-0.6934,5
estacionamiento,17,5,broker,0.5,-0.762,4
television,17,4,broker,0.625,-1.3363,4
socio,17,6,periferico,0.0,1.2481,3
ubicar,17,6,broker,0.6939,1.2481,7
especializado,17,3,broker,0.6667,0.1826,6
invitacion,17,1,broker,0.6667,-0.8616,3
pedro,17,0,broker,0.64,-0.8944,5
colocar,17,0,broker,0.72,-0.8944,5
subir,17,1,broker,0.6667,-0.8616,3
