node_id,tipo_nodo,etiqueta,categoria_principal,confianza_categoria,categorias,polaridad,polaridad_score,ambito_estrategico,postura,postura_etiqueta,postura_score,evidencia_postura,mensajes_con_postura,coincidencias_positivas,coincidencias_negativas,peso_coincidente
madre,palabra,madre,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,0
muerte,palabra,muerte,,0.0,,negativa,-1.0,risk,sin_postura,Sin postura,0.0,0.0,0,0,1,1
doenitz,palabra,doenitz,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,0
presunto,palabra,presunto,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,0
ocurrido,palabra,ocurrido,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,0
video,palabra,video,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,0
exalumno,palabra,exalumno,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,0
carpeta,palabra,carpeta,Delitos,0.8109,Delitos,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,1
cdmx,palabra,cdmx,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,0
ochoa,palabra,ochoa,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,0
retiro,palabra,retiro,,0.0,,negativa,-1.0,risk,sin_postura,Sin postura,0.0,0.0,0,0,1,1
llamado,palabra,llamado,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,0
guillermo,palabra,guillermo,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,0
violencia,palabra,violencia,Delitos,1.0,Delitos,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,1
dolor,palabra,dolor,,0.0,,negativa,-1.0,risk,sin_postura,Sin postura,0.0,0.0,0,0,1,1
mensaje,palabra,mensaje,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,0
sentir,palabra,sentir,,0.0,,negativa,-1.0,risk,sin_postura,Sin postura,0.0,0.0,0,0,1,1
miedo,palabra,miedo,,0.0,,negativa,-1.0,risk,sin_postura,Sin postura,0.0,0.0,0,0,1,1
suceder,palabra,suceder,,0.0,,positiva,1.0,consolidation,sin_postura,Sin postura,0.0,0.0,0,1,0,1
actuar,palabra,actuar,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,0
casodafne,palabra,casodafne,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,0
expresar,palabra,expresar,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,0
abrir,palabra,abrir,,0.0,,neutral,0.0,opportunity,sin_postura,Sin postura,0.0,0.0,0,0,0,0
